Filename,language,dur,lartype,family,area,norm.soe
24-bend_metal,Kera,62.81699999999998,h,Afro-Asiatic,Africa,0.15572753750312782
26-sufficient,Kera,116.281,h,Afro-Asiatic,Africa,0.20228633179020086
10-to_be_new,Khongso,109.23500000000004,h,Sino-Tibetan,Eurasia,0.2030301104255383
11_saloon,Khuzestani Arabic,75.63799999999998,h,Afro-Asiatic,Eurasia,0.17853698693291883
28__important,Khuzestani Arabic,89.215,h,Afro-Asiatic,Eurasia,0.32895892985483954
51__this__F_,Khuzestani Arabic,99.821,h,Afro-Asiatic,Eurasia,0.4330546594837822
56__they__F_,Khuzestani Arabic,56.054,h,Afro-Asiatic,Eurasia,0.2553178133766083
76__he,Khuzestani Arabic,60.916,h,Afro-Asiatic,Eurasia,0.22312108120762353
doing,Korean,129.69799999999998,h,Koreanic,Eurasia,0.1056051753898357
23-yes,Kumzari,46.641999999999996,H,Indo-European,Eurasia,0.5124765846209152
02-cold,Lili Wu,78.749,H,Sino-Tibetan,Eurasia,0.1836557616768377
04-shoes,Lili Wu,21.292,H,Sino-Tibetan,Eurasia,0.7691924363382663
24-to_roar,Lili Wu,79.523,h,Sino-Tibetan,Eurasia,0.33491405999158724
25-dust,Lili Wu,135.74699999999999,h,Sino-Tibetan,Eurasia,0.5765608684042702
28-turgescence,Lili Wu,85.618,h,Sino-Tibetan,Eurasia,0.31938577306753957
01-heed,Liverpool English,162.84199999999998,h,Indo-European,Eurasia,0.2998111413037606
02-hid,Liverpool English,180.411,h,Indo-European,Eurasia,0.43222310482529525
03a-heard,Liverpool English,156.56199999999998,h,Indo-European,Eurasia,0.5423974144829605
03b-hair,Liverpool English,124.803,h,Indo-European,Eurasia,0.533903003098417
03c-her,Liverpool English,92.03200000000004,h,Indo-European,Eurasia,0.33196512001135525
04-head,Liverpool English,195.833,h,Indo-European,Eurasia,0.4100452880059933
05-had,Liverpool English,151.094,h,Indo-European,Eurasia,0.453194471438777
05a-heart,Liverpool English,102.35300000000001,h,Indo-European,Eurasia,0.41063679806499365
05b-heart,Liverpool English,116.22100000000002,h,Indo-European,Eurasia,0.524861720069679
06-hard,Liverpool English,126.65100000000001,h,Indo-European,Eurasia,0.32710541707043284
07-hod,Liverpool English,116.55,h,Indo-European,Eurasia,0.34034605708764154
08-hoard,Liverpool English,171.6250000000001,h,Indo-European,Eurasia,0.36452003144727724
09-who-d,Liverpool English,106.67800000000001,h,Indo-European,Eurasia,0.40988083865744923
10-hood,Liverpool English,135.398,h,Indo-European,Eurasia,0.3520108574195974
11-hay,Liverpool English,135.539,h,Indo-European,Eurasia,0.3542247146099753
12-high,Liverpool English,148.45399999999998,h,Indo-European,Eurasia,0.3825475263881484
14-hoe,Liverpool English,147.002,h,Indo-European,Eurasia,0.4847185502919493
15-how,Liverpool English,158.49,h,Indo-European,Eurasia,0.4463621705717598
17-him,Liverpool English,123.97,h,Indo-European,Eurasia,0.6280524656849603
18-who,Liverpool English,126.12800000000001,h,Indo-European,Eurasia,0.3233688337851372
19-his,Liverpool English,84.094,h,Indo-European,Eurasia,0.3811184105522984
21-hit,Liverpool English,130.08599999999998,h,Indo-European,Eurasia,0.43538048363806564
43-hoop,Liverpool English,88.713,h,Indo-European,Eurasia,0.4196369581693795
47-height,Liverpool English,185.008,h,Indo-European,Eurasia,0.4453737150826763
043-bamboo,Lizu,194.52,h,Sino-Tibetan,Eurasia,0.3258474917065416
053-five,Lizu,109.822,H,Sino-Tibetan,Eurasia,0.21176947231593257
079-maple,Lizu,242.04399999999998,h,Sino-Tibetan,Eurasia,0.3390526203853267
11-back-following,Lizu,220.341,h,Sino-Tibetan,Eurasia,0.28652770738436817
03-man-person,Lower Xumi,75.412,h,Sino-Tibetan,Eurasia,0.6230333546801826
04-to_cut,Lower Xumi,115.02999999999997,h,Sino-Tibetan,Eurasia,0.5979720661486543
05-to_blow,Lower Xumi,40.77000000000001,h,Sino-Tibetan,Eurasia,0.6137265003819016
07-silver_bowl,Lower Xumi,65.68599999999998,H,Sino-Tibetan,Eurasia,0.7810645822166813
13-silver,Lower Xumi,109.75200000000001,H,Sino-Tibetan,Eurasia,0.7649507952855739
15-deep,Lower Xumi,192.23700000000002,h,Sino-Tibetan,Eurasia,0.6615900055138528
44-vegetable,Lower Xumi,122.77699999999999,h,Sino-Tibetan,Eurasia,0.29621749572171363
45-pigeon,Lower Xumi,78.82799999999997,H,Sino-Tibetan,Eurasia,0.660993596658459
02-envelope,Luxembourgish,121.62699999999995,h,Indo-European,Eurasia,0.5449062533581988
04-hill,Luxembourgish,99.315,h,Indo-European,Eurasia,0.3575101310995391
13-bright,Luxembourgish,121.70499999999998,h,Indo-European,Eurasia,0.4691737339063105
36-high,Luxembourgish,97.84800000000001,h,Indo-European,Eurasia,0.5172749217417443
42-here,Luxembourgish,89.22200000000001,h,Indo-European,Eurasia,0.42267705611056083
43-today,Luxembourgish,90.41399999999999,h,Indo-European,Eurasia,0.32142337031437085
51-ham,Luxembourgish,129.275,h,Indo-European,Eurasia,0.2660430039675151
01-chicken,Maastricht Dutch,71.32,H,Indo-European,Eurasia,0.5266379240057988
02-autumn,Maastricht Dutch,63.495,H,Indo-European,Eurasia,0.31595980590294104
06-garden,Maastricht Dutch,101.411,H,Indo-European,Eurasia,0.553064568380585
23-heart,Maastricht Dutch,59.596999999999994,H,Indo-European,Eurasia,0.21602499977388376
a3-witch,Maastricht Dutch,57.19800000000001,H,Indo-European,Eurasia,0.4112243602657752
d2-hear-2sg,Maastricht Dutch,76.745,H,Indo-European,Eurasia,0.21601125959683254
44-forbidden,Madurese,89.902,h,Austronesian,Papunesia,0.20487245915006824
45-result,Madurese,110.755,h,Austronesian,Papunesia,0.2713176103364018
16-call_to_move_buffalo,Makasar,115.47500000000002,h,Austronesian,Papunesia,0.2925861782944169
031-will_take,Malagasy,157.62599999999998,h,Austronesian,Africa,0.2858556352136208
076-strength,Malagasy,89.602,h,Austronesian,Africa,0.43057692309436546
162-QUOT,Malagasy,20.818000000000012,h,Austronesian,Africa,0.5698963195313965
15-day,Malay,179.753,h,Austronesian,Eurasia,0.2905138018868484
19-wasp-sp,Mambay,69.84700000000004,h,Niger-Congo,Africa,0.4711538358524462
33-crab,Mambay,80.57500000000002,h,Niger-Congo,Africa,0.41076262167197725
25-firestick,Mbarrumbathama,91.445,h,Pama-Nyungan,Australia,0.3986682568470151
41b-scorpion,Mbarrumbathama,77.327,h,Pama-Nyungan,Australia,0.48767753825135335
18-higher,Mennonite Plautdietsch,99.69899999999998,h,Indo-European,North America,0.5551028931819975
22-hunger,Mennonite Plautdietsch,129.106,h,Indo-European,North America,0.40853954378878005
29-hair,Mennonite Plautdietsch,117.63000000000001,h,Indo-European,North America,0.44289167743125313
32-hoe,Mennonite Plautdietsch,74.383,h,Indo-European,North America,0.43312648689870953
33-hedge,Mennonite Plautdietsch,124.90100000000001,h,Indo-European,North America,0.34990412846562335
46-honey-term_of_endearment,Mennonite Plautdietsch,89.259,h,Indo-European,North America,0.32144586898973543
47-here,Mennonite Plautdietsch,109.023,h,Indo-European,North America,0.434441532177327
48-hither,Mennonite Plautdietsch,100.416,h,Indo-European,North America,0.5551028931819975
33-hard,Mono,172.432,h,Niger-Congo,Africa,0.3023709526547165
08-ring,Munji,48.730999999999995,h,Indo-European,Eurasia,0.2810475270738123
16-horse,Nen,86.35,h,Yam,Papunesia,0.2747160340616479
08-am,Nepali,105.05299999999998,h,Indo-European,Eurasia,0.33257810162651935
01a-huge,New Zealand English,166.863,h,Indo-European,Papunesia,0.3802266009533972
01b-huge,New Zealand English,174.031,h,Indo-European,Papunesia,0.5396354179935147
04a-happy,New Zealand English,88.72199999999998,h,Indo-European,Papunesia,0.3053434881499202
04b-happy,New Zealand English,107.552,h,Indo-European,Papunesia,0.557803942673208
04c-happy,New Zealand English,108.49100000000004,h,Indo-European,Papunesia,0.4107999654040507
24a-hang,New Zealand English,117.31099999999998,h,Indo-European,Papunesia,0.6236778405526668
24b-hang,New Zealand English,132.565,h,Indo-European,Papunesia,0.6277016696742723
24c-hang,New Zealand English,144.73399999999998,h,Indo-European,Papunesia,0.6045725131154827
26a-high,New Zealand English,119.94800000000001,h,Indo-European,Papunesia,0.6331466014361977
26b-high,New Zealand English,125.75200000000001,h,Indo-European,Papunesia,0.4179365647156599
26c-high,New Zealand English,152.11,h,Indo-European,Papunesia,0.5077965239802743
04a-to_be_white,Niuean,176.66999999999996,h,Austronesian,Papunesia,0.5561913640077994
04b-to_be_white,Niuean,152.78400000000002,h,Austronesian,Papunesia,0.5417284730487081
07a-path_road,Niuean,158.572,h,Austronesian,Papunesia,0.418120980064329
07b-path_road,Niuean,102.56100000000004,h,Austronesian,Papunesia,0.17639664072521943
09a-strength,Niuean,84.87900000000002,h,Austronesian,Papunesia,0.24364117137949126
09b-strength,Niuean,87.96600000000001,h,Austronesian,Papunesia,0.2719006867722104
15a-3RD_SINGULAR_POSSESSIVE,Niuean,135.77399999999994,h,Austronesian,Papunesia,0.2957735921772262
15b-3RD_SINGULAR_POSSESSIVE,Niuean,102.755,h,Austronesian,Papunesia,0.20216601119849353
02-river,Northern Paiute,132.506,h,Uto-Aztecan,North America,0.3629646328924449
19-where,Northern Paiute,115.07400000000001,h,Uto-Aztecan,North America,0.22999132246425769
06-unable-barely_able,Northwest Sahaptin,48.74200000000002,h,Plateau Penutian,North America,0.31255864982824577
27-pig,Northwest Sahaptin,13.59899999999999,h,Plateau Penutian,North America,0.5037489461136291
32-yes,Nuuchahnulth,186.074,h,Wakashan,North America,0.3286187513917908
19-house,Orsmaal Dutch,139.29500000000002,h,Indo-European,Eurasia,0.545268580326145
35-hen,Orsmaal Dutch,172.10400000000004,h,Indo-European,Eurasia,0.6516335036301174
01-every,Palula,160.457,h,Indo-European,Eurasia,0.43367570990325294
